impl,size,rep,param,time_s
seq,10240,1,NA,0.153976
omp,10240,1,1,0.090838
omp,10240,1,2,0.073329
omp,10240,1,4,0.049929
mpi,10240,1,2,0.169213
mpi,10240,1,4,0.182360
seq,10240,2,NA,0.148005
omp,10240,2,1,0.094750
omp,10240,2,2,0.067790
omp,10240,2,4,0.054720
mpi,10240,2,2,0.158144
mpi,10240,2,4,0.208422
seq,10240,3,NA,0.165470
omp,10240,3,1,0.098365
omp,10240,3,2,0.066267
omp,10240,3,4,0.058014
mpi,10240,3,2,0.181587
mpi,10240,3,4,0.182595
seq,51200,1,NA,3.938604
omp,51200,1,1,2.550578
omp,51200,1,2,1.718762
omp,51200,1,4,1.228830
mpi,51200,1,2,4.464863
mpi,51200,1,4,6.321465
seq,51200,2,NA,4.332192
omp,51200,2,1,2.324444
omp,51200,2,2,1.518006
omp,51200,2,4,1.409405
mpi,51200,2,2,4.860746
mpi,51200,2,4,5.963272
seq,51200,3,NA,4.031270
omp,51200,3,1,2.292587
omp,51200,3,2,1.496884
omp,51200,3,4,1.391910
mpi,51200,3,2,4.710133
mpi,51200,3,4,5.753413
seq,102400,1,NA,15.517880
omp,102400,1,1,9.249443
omp,102400,1,2,5.943648
omp,102400,1,4,5.572346
mpi,102400,1,2,19.108574
mpi,102400,1,4,23.515714
seq,102400,2,NA,15.182521
omp,102400,2,1,9.399326
omp,102400,2,2,7.095304
omp,102400,2,4,5.549111
mpi,102400,2,2,18.638417
mpi,102400,2,4,25.712869
seq,102400,3,NA,15.532573
omp,102400,3,1,9.479571
omp,102400,3,2,6.483495
omp,102400,3,4,5.496301
mpi,102400,3,2,20.159164
mpi,102400,3,4,27.052265
seq,204800,1,NA,85.778238
omp,204800,1,1,53.109710
omp,204800,1,2,42.965813
omp,204800,1,4,24.251560
mpi,204800,1,2,92.858692
mpi,204800,1,4,120.625445
seq,204800,2,NA,69.592835
omp,204800,2,1,50.234652
omp,204800,2,2,47.720515
omp,204800,2,4,41.342194
mpi,204800,2,2,97.673329
mpi,204800,2,4,117.147035
seq,204800,3,NA,71.798080
omp,204800,3,1,41.614716
omp,204800,3,2,31.907277
omp,204800,3,4,28.603649
mpi,204800,3,2,100.635194
mpi,204800,3,4,114.885766
omp,1048576,1,1,1602.809464
omp,1048576,1,2,880.247436
omp,1048576,1,4,882.012516
mpi,1048576,1,2,2403.694971
mpi,1048576,1,4,2891.422562
impl,10485760,0,skipped,0
impl,104857600,0,skipped,0
impl,524288000,0,skipped,0
impl,1073741824,0,skipped,0
impl,size,rep,param,time_s
cuda,10240,1,128,0.109924
cuda,10240,1,256,0.064252
cuda,10240,1,512,0.076628
cuda,10240,2,128,0.060675
cuda,10240,2,256,0.064462
cuda,10240,2,512,0.076243
cuda,10240,3,128,0.065312
cuda,10240,3,256,0.064488
cuda,10240,3,512,0.076185
cuda,51200,1,128,2.992495
cuda,51200,1,256,3.016323
cuda,51200,1,512,3.072156
cuda,51200,2,128,2.995034
cuda,51200,2,256,3.016395
cuda,51200,2,512,3.078468
cuda,51200,3,128,3.002448
cuda,51200,3,256,3.023699
cuda,51200,3,512,3.081815
